Symbol,Alias
Sp1,"CG1343, D-Sp1, D-Sp8, D.Sp1, DmelCG1343, dSp1"
Spn38F,"CG9334, DmelCG9334, Sp3, Spn3"
Siah1a,"AA982064, AI853500, Sinh1a"
CG1532,DmelCG1532
l(3)01239,"CG6302, DmelCG6302, P01239, l(3)j9B4"
Arp2,"ARP14D, Actr14D, CG9901, DmelCG9901"
Arpc3A,"ARC-P21, ARPC, CG4560, DmelCG4560"
Syx8,"CG4109, Dm Syx8, DmSyx8, DmelCG4109, Syx"
Rae1,"CG9862, DmelCG9862, dmrae1"
Sh3beta,"CG8582, DmelCG8582, LD12912"
AnxB10,"Ann, AnnX, CG9579, DmelCG9579, annexin, anxX"
Rpt5,"BcDNA.GH12068, BcDNA:GH12068, CG10370, DmTBP-1, Dm_Rpt5a, Dm_Rpt5b, DmelCG10370, Pros26S, Pros26S-RS6A, S6, TBP-1, Tbp1, anon-WO0153538.10, anon-WO0153538.8, anon-WO0153538.9, dRpt5, l(3)04210, p50"
CG5044,"CT16187, DmelCG5044, HIBCH"
boca,"CG1364, CG30498, DmelCG30498, dmBoca, l(2)43Ea"
CG3008,DmelCG3008
SPE,"CG16705, CT37173, DmelCG16705, SP4, c-SP4, proPO-AE"
Swip-1,"CG10641, DSwip-1, DmelCG10641, EFhd2, efhd"
CG12024,DmelCG12024
Inos,"CG11143, DmelCG11143, bs36h12.y1"
Amyrel,"CG8221, DmelCG8221"
Ykt6,"CG1515, DmelCG1515, Ykt6p, l(1)G0155"
Mdh2,"CG 7998, CG7998, DmelCG7998, MDH-2, Mdh, l(3)psg7, mMdh"
CG17187,"BcDNA:RE47242, DmelCG17187"
CG13920,"BEST:CK00246, CK00246, DmelCG13920"
Hsc70-1,"143191_at, BcDNA:RH49358, CG8937, DmelCG8937, HSC-70, HSC1, HSC70, HSP7A_DROME, Hsp-c1, dhsc70, dhsc70-1"
Hsc70-2,"CG7756, DmelCG7756, HSC-70, HSC2, HSC70, HSP7B_DROME, Hsc-2, Hsc70.2, dhsc70"
Syx5,"BG:DS02740.12, CG4214, DmSyx5, DmelCG4214, II, SED5, SYN5, Synx5, Syx, Syx5A, anon-35Fb, anon-35Fd, dSed5, dSed5p, dSyx5, l(2)35Ff"
Smu1,"CG5451, DmelCG5451, dsmu1"
CG18789,DmelCG18789
Cct2,"CG18330, CT1187, DmelCG18330"
AP-2alpha,"AP-2, AP2, Alpha-Adaptin, CG31654, CG4260, D-Ada, D-alphaAda, DmelCG4260, MENE (2L)-A, MENE(2L)-A, ada, alpha, alpha-Ada, apl3, dAP-2a, l(2)06694, l(2)SH0460, l(2)SH2 0460"
Trap1,"CG3152, DmelCG3152, TRAP1dr, dtrap-1"
CG34132,DmelCG34132
Cyp4ac1,"4ac1, CG14032, DmelCG14032"
CG13901,DmelCG13901
Pi3K68D,"11621, BcDNA:LD15217, CG11621, Cpk, DmelCG11621, PI(3)K, PI3K, PI3K 68D, PI3K 68_D, PI3K-68D, PI3K-68D/E, PI3K_68D, PI[[3]]K, dPI3K, dPIK"
OstDelta,"CG6370, DmelCG6370"
Flo2,"CG11547, CG14409, CG32593, DmFlo2, DmelCG32593, FLO[Dm]-2, Flo, Flo-2, reggie-1"
JhI-26,"CG3767, DmelCG3767"
Pbp95,"BEST:LD28511, CG2702, DmPBP, DmPBP95, DmSNAP190, DmSNAPc, DmelCG2702, anon-WO0118547.359"
CG2976,"DmelCG2976, FNTA"
CG17565,"DmelCG17565, FNTB"
CG7668,"AAF49079, AAM11109, AAN11645, BcDNA:GM07843, BcDNA:RE40293, DmelCG7668, FBpp0074673, FBpp0074674"
CG5706,DmelCG5706
Ilk,"CG10504, CT29478, DmILK, DmelCG10504, l(3)78Ca"
CG2065,DmelCG2065
CHMP2B,"CG4618, DmelCG4618"
GstD2,"CG4181, DmGST21, DmGSTD2, DmelCG4181, GST, GST D2, GST-D2, GstD21"
Adh,"Adh3, BG:DS01486.8, CG32954, CG3481, DM-ADH, DmADH, DmelCG3481, Dreg-1, Reg-1, T16, dADH"
Syx13,"CG11278, Dm Syx13, DmSyx13, DmelCG11278, SYN13, Syx, ff16, ff16 (69D1-70A2), l(3)01470"
Rpt3,"16916, CG16916, Dm_Rpt3a, DmelCG16916, Dmp48A, S6, S6B, TBP7, l(1)G0052, p48A"
CG10420,DmelCG10420
Fkbp14,"BcDNA.GM07659, BcDNA:GH08925, BcDNA:GM07659, CG9847, DmelCG9847, FKB13, FKBP13, GM07659, l(2)00734"
CG1673,DmelCG1673
Ilp2,"CG8167, DILP, DILP-2, DILP2, Dilp 2, DmelCG8167, IRP, Ilp, Ilp-2"
CG33303,"CG5364, DmelCG33303"
Mec2,"CG7635, DMec2, DmelCG7635"
tan,"CG6586, DmelCG6586"
CG11980,"DmelCG11980, anon-WO0118547.327"
CG13994,"BcDNA:AT31406, DmelCG13994"
CG31548,"BcDNA:RH24570, CG2907, DmelCG31548"
Tgt,"CG4947, DmelCG4947"
Use1,"CG14181, DmelCG14181, FBgn 35965"
CG42557,"CG7866, DmelCG42557, Dmel_CG7866"
Rab35,"CG9575, DRab35, DmRab35, DmelCG9575, Q95RH7"
CG12042,"DmelCG12042, p62"
Gp93,"CG5520, CT17486, DmelCG5520, Hsp90, p93"
CG6465,DmelCG6465
CG4962,"CT15908, DmelCG4962"
CG30152,"CG10404, DmelCG30152, FAM96a"
CG2162,"DmelCG2162, anon-EST:Posey170"
Nup37,"CG11875, DmelCG11875"
Idgf5,"CG5154, Cht14, DmIDGF5, DmelCG5154, IDGF, IDGF-5"
CG31278,"CG6482, DmelCG31278, PDF"
DUBAI,"CG8830, DmelCG8830, Q7JQI1"
CG15084,DmelCG15084
CG5577,DmelCG5577
CG5567,"DmelCG5567, Phos5567"
CG14036,DmelCG14036
CG13473,DmelCG13473
VhaM8.9,"ATP6AP2, CG8444, DmelCG8444, VhaM8-9, VhaPRR, dPRR"
gammaSnap2,"CG6208, DmelCG6208, SNAP-31, gammaSNAP, gammaSnap-2"
scf,"BEST:CK02682, CG9148, CK02682, DCB-45, DmelCG9148, anon-EST:Posey14"
CG16885,"CG18634, DmelCG16885"
Arc42,"CG4703, DmelCG4703, dARC42"
Cyp12d1-p,"12D1, CG18240, CG30489, CYP12D1, Cyp 12d1, DmelCG30489"
Rbm13,"CG10648, DmelCG10648"
Aats-glupro,"AATS, Aa-tRNA-syn-glupro, Aats-glu, CG5394, DmelCG5394, EPRS, ERS, GluPro-RS, GluProRS, GluRS, aminoacyl-tRNA synthetase, glutamyl-prolyl-tRNA synthetase, p200"
Aats-ile,"CG11471, DmelCG11471, IRS, IleRS, l(3)00827"
CG3344,DmelCG3344
pirk,"BcDNA:SD16010, CG15678, DmelCG15678, Pims, Rudra"
Clic,"CG10997, DCLIC, DmCLIC, DmelCG10997, l(1)G0053, l(1)G0472"
CG7407,"BcDNA:LD29166, DmelCG7407"
CG5902,"DmelCG5902, anon-WO0118547.372"
CG15100,"DmelCG15100, MRS, anon-EST:Liang-2.15, clone 2.15, p120"
Cyp4e1,"4e1, CG2062, DmelCG2062, P-450, P450"
CG9062,DmelCG9062
CG2070,DmelCG2070
Gos28,"CG7700, DmelCG7700, FSG28, dGos28"
CG5500,DmelCG5500
CG4872,DmelCG4872
CG7953,"BG:DS00941.14, DS00941.14, DmelCG7953, anon-WO0140519.73"
GstZ1,"CG9362, DmelCG9362"
MED7,"CG31390, CG6529, DmelCG31390, dMED7, dTRAP34"
CG8654,DmelCG8654
EndoGI,"BG:DS07473.2, CG4930, DmelCG4930, dEndoGI"
CG3740,"DmelCG3740, EG:171E4.4"
CG11671,"BcDNA:GM23845, DmelCG11671"
vanin-like,"CG32754, CG3648, DmelCG32754"
Cyp4ae1,"4ae1, CG10755, CYP4E4, Cypae1, DmelCG10755, EG:152A3.6, I, P-450, P450, TcD20, anon-2Ea"
CG1806,DmelCG1806
Hexo1,"CG1318, DmHex1, DmelCG1318, HEX 1, HEX1"
r-l,"CG3593, DmelCG3593, OMPDC, OPRT, UMPS, ral"
CG10912,DmelCG10912
CG8026,"DmelCG8026, Dromel_CG8026_FBtr0088611_mORF, anon-WO0242455.53, anon-WO0242455.6, anon-WO0242455.7"
Amy-d,"AMY, Amy(d), Amy-distal, Amy1, Amy3, Amy6, AmyB, AmyD, CG17876, DmelCG17876, alpha-AMY, alphaAmy, amyB(3)"
CG5506,"BcDNA:LP12049, DmelCG5506"
fln,"CG7445, DmelCG7445, Ftn, mp27"
MED14,"CG12031, DmelCG12031, Trap170, dTRAP170, p160"
Tsf1,"143958_at, CG6186, DmelCG6186, Tf, Trf, anon-EST:Posey265, lincRNA.S9601"
Ude,"CG18410, DmelCG18410"
CG33713,"CG1704, CG33071, CG33071-ORFB, CG33071ORFB, DmelCG33713, Dromel_CG33713_FBtr0091704_mORF"
bcn92,"BcDNA:RE57896, CG3717, DmelCG3717, EG:87B1.6, NEST:bs15a04"
CG16979,"DmelCG16979, UFSP2"
CG34172,DmelCG34172
bor,"ATAD3A, CG6815, CP89BC, DmelCG6815, dATAD3A"
Kmn1,"CG1558, CT4038, DmelCG1558, Nsl1, anon-WO03040301.201, dmNsl1R, l(1)G0237"
Mis12,"BcDNA:RE19545, CG18156, DmelCG18156, Mis-12, dmMis12"
CG3603,"BcDNA:RH09070, DmelCG3603"
psq,"BTB-V, BtbV, CG2368, DmelCG2368, Piq, eyeful, pip, psk, psq-1, rum, zep"
MED27,"CG1245, CRSP34, DmelCG1245, Trap37, dCRSP34, dTRAP37"
CG8475,DmelCG8475
S-Lap3,"BEST:LP10167, CG32063, CG8040, DmelCG32063, S-LAP 3, anon-WO0140519.83"
CG7979,DmelCG7979
CG8132,DmelCG8132
CG32219,"BcDNA:AT25132, DmelCG32219"
mop,"CG9311, DmelCG9311, sfv"
CG31800,DmelCG31800
clu,"CG8443, DmelCG8443, anon-WO0118547.143"
hop,"4, CG1594, Dm JAK, DmHD-160, DmelCG1594, HD-160, Hop1, JAK, L4, Tum, Tum-1, d-jak, hop/JAK, l(1)10Be, l(1)G18, l(1)L4, l(1)hop, msvl"
PPP4R2r,"BcDNA:LD29930, CG2890, DmelCG2890, PP4, PP4R, PP4R2, PPP4R2, R2"
CG11857,DmelCG11857
qkr58E-2,"CG5821, DmelCG5821, qrk58E-2"
wibg,"BEST:HL05757, CG10330, CG30176, DmelCG30176, PYM, UD3"
CG18518,"BG:DS02252.4, DS02252.4, DmelCG18518"
Rab14,"57H4T, AAF53390, BG:DS01068.7, CG4212, DRAB14, DmRab14, DmelCG4212, ESTS:57H4T, O18336, Rab-r14, anon-sts33"
CG4390,DmelCG4390
CG31712,"CG5879, DmelCG31712"
Rel,"CG11992, DmelCG11992, NF-kappaB, NFkappaB, RELI, Rel-p110, Rel/NF-kappaB, ird, ird4, l(3)neo36, relish"
Ggamma1,"CG8261, D-G[[gamma]]1, DmelCG8261, G[[gamma1]], G[[gamma]], Gbetagamma, Gg1, Ggamma, Ggamma-1, bro4, dg1alpha, l(2)k08017"
Grp,"CG4680, DmelCG4680"
CG6013,DmelCG6013
Snapin,"CG32951, CG9958, DmelCG9958, Dromel_CG9960_CG9958_FBtr007773_snapin_uORF, NP_722835"
CG32536,"CG8020, DmelCG32536"
CG33253,"BEST:CK01423, CG14192, CG7633, CK01423, DmelCG33253"
CG10859,DmelCG10859
CG6712,"DmelCG6712, ORF2"
RluA-2,"CG6187, DmelCG6187, yumo"
CG9008,"BG:DS00797.2, DmelCG9008"
HSPC300,"CG30173, DmelCG30173, SIP1, dHSPC"
CG2004,DmelCG2004
CG10425,DmelCG10425
TpnC25D,"BcDNA:RE53289, CG6514, DmTpnC25D, DmTpnCII, DmelCG6514, TNC25D, TnC, TpnC II, TpnCII, anon-EST:Posey103"
dpr5,"CG5308, CT16895, DmelCG5308, Dpr-5"
GstD5,"CG12242, D5, DmGST24, DmGSTD5, DmelCG12242, GST, GstD24"
CanB2,"CG11217, CS2-1, DmelCG11217, dCNB2"
tkv,"Atkv, Atr25D, Brk25D, Brk25D1, Brk25D2, CG14026, DmelCG14026, Dtfr, STK-A, TKV1, kv, l(2)04415, l(2)25Da, str, tkva"
CG3306,DmelCG3306
betaNACtes1,"CG13402, DmelCG13402"
CG16940,DmelCG16940
CG3288,DmelCG3288
CG10824,"10824, CT11359, DIPc, DmelCG10824"
slik,"CG4527, DPlkk1, DmelCG4527, PLKK1, Plkk/Slik, SLK, Slik1, dPlkk, dPlkk/Slik"
Ns1,"CG3983, DmelCG3983, dmNS1"
Dat,"AA-NAT1, AANAT, Aanat1, CG3318, Dat1, DmelCG3318, NAT1"
Cand1,"BcDNA:GH07774, CG5366, DmelCG5366, dmCAND1"
CG32335,"BcDNA:RE72485, DmelCG32335"
CG12828,DmelCG12828
swi2,"CG14485, DmelCG14485"
Chmp1,"CG4108, DmelCG4108, VPS46"
CG1458,"BcDNA:RE49709, DmelCG1458, MitoNEET"
CG4291,DmelCG4291
Tap42,"CG31852, CG6537, DmelCG31852, Tap-42/CG31852, dTap42"
Hsc70Cb,"0041/12, 0318/20, 1342/17, 1348/02, 1485/13, BEST:LD32772, CG6603, DmelCG6603, HSC-70, HSC70, HSP110, HSP110-1, LD32772, anon-WO0118547.302, dHsp110, l(3)00082, l(3)07621, l(3)134217, l(3)148513, l(3)70Ca, l(3)70Cb, l(3)S134217, l(3)S134802, l(3)S148513"
CG4797,DmelCG4797
CG12170,"DmelCG12170, anon-WO0118547.367"
MED23,"CG3695, DmelCG3695, Gal11/SUR2, Trap150, Trap150beta, dSUR2, dTRAP150beta"
Rhp,"CG8497, DmelCG8497"
DppIII,"CG7415, DPP, DPP III, DmelCG7415"
Bx,"Bd, CG10548, CG15048, CG44425, CG6500, DLMO, DmelCG44425, Dmel_CG15048, Dmel_CG6500, LMO, Ptd, Rho, beadex/dLMO, dttg, fliH, hdp, hdp-a, hld"
MED16,"CG5465, DmelCG5465, Sin4/TRAP95, Trap95, dTRAP95"
CG11060,DmelCG11060
CG12207,DmelCG12207
CG33191,"BEST:GH01761, BcDNA:GH01761, DmelCG33191, anon-WO0140519.60"
CG13284,DmelCG13284
Nop56,"CG13849, DmNop56, DmelCG13849, Dnop56, FBgn0038964"
MESR6,"CG6818, DmelCG6818"
CG4908,DmelCG4908
rdhB,"CG7077, DmelCG7077"
Obp19d,"19d, BcDNA:HL07789, BcDNA:RH68082, CG1668, DmelObp19d, DmelCG1668, PB-PRP2, PBP2, PBPRP-2, PBPRP2"
antdh,"CG1386, DmelCG1386"
Past1,"CG6148, CG66148, DmelCG6148, Ehd, PAST, PAST-1, dEHD"
CG14613,"ADP/ATP translocase, CT34370, DmelCG14613"
CG11018,"DmelCG11018, anon-WO0140519.121"
CG7192,DmelCG7192
az2,"CG1605, DmelCG1605, zf43C"
Paip2,"CG12358, DmelCG12358, dPaip2"
CG7289,DmelCG7289
alpha-Est2,"B, CG2505, DmalphaE2, DmelCG2505, aE2, alphaE2"
CG31918,"CG18592, DmelCG31918, anon-WO0118547.477"
Teh1,"CG12806, DmelCG12806"
CG13983,DmelCG13983
CG2918,"CT9894, DmelCG2918, EG:25E8.1"
CG13902,DmelCG13902
CG6678,DmelCG6678
CG10495,"DmelCG10495, anon-WO0118547.200"
CG9123,DmelCG9123
Ddx1,"CG9054, Dbp79E, DmDDX1, DmRH12, DmelCG9054, anon-79E"
COX2,"COII, MTCO2"
CG4662,DmelCG4662
CG2736,DmelCG2736
Upf1,"CG1559, Dm-Upf1, DmUpf1, DmelCG1559, Upf1p, smg-2"
CG6701,"DmelCG6701, EP(2)2054, EP2054"
nSyb,"CG17248, DmelCG17248, Dn-syb, N-SYB, SYB, Syb62A"
GstE5,"CG17527, DmGSTE5, DmelCG17527"
CG32631,"CG1733, DmelCG32631"
Lcp4,"4, CG2044, DmelLcp4, DmelCG2044, IV, LCP-4, L[[3]]CP4"
Nxt1,"CG12752, DmNXT1, DmelCG12752, Nxt, dNxt, dmNXT, dmP15, p15"
CG7639,DmelCG7639
CG1707,DmelCG1707
Atx2,"Atx-2, Atxain-2, BEST:GH27029, CG5166, CG5166a, Datx2, DmelCG5166, GH27029, SCA2, anon-EST:fe2E1, anon-WO0118547.351, anon-WO0140519.1, dSCA2, l(3)06490"
Cyp6a21,"6a21, CG10247, DmelCG10247"
O-fut2,"CG14789, DmelCG14789, EG:BACN32G11.6, O-fut, Ofut2"
eIF6,"CG17611, DeIF6, DmelCG17611, anon-WO0172774.153, anon-WO0172774.155, elF6, l(2)k13214"
CG31343,"BEST:GH20248, CG5839, DmelCG31343, anon-WO0140519.86"
CG9521,"Dm GMCtheta2, DmelCG9521"
p24-1,"CG1967, DmelCG1967, anon-EST:Liang-1.45, clone 1.45, p24, p24.1, p26/p24gamma4"
GstD7,"CG4371, DmGST26, DmGSTD7, DmelCG4371, Gst, GstD26"
Prosbeta4R2,"CG17302, DmelCG17302, anon-WO0140519.122, beta4R2"
l(1)10Bb,"10Ba, CG1639, DmelCG1639, l(1)G0169, l(1)G14, l(1)GLM14"
CG6015,"CDC40, DmelCG6015, prp17"
CG10581,DmelCG10581
Myd88,"CG2078, DMMYD88, DmelCG2078, EP(2)2535, Kra, LD20892, Myd88F, dMYd88"
CG32344,"CG6994, DmRH20, DmelCG32344"
CG3523,"BcDNA:GH07626, DM_7295848, DmelCG3523, FAS, FASN, FAS[CG3523], Fatty acid synthase, anon-EST:Posey235, anon-EST:Posey43, anon-WO0138581.1, dFAS"
GAPcenA,"CG7112, DmelCG7112, FBgn 35879, FBgn0035879"
CG11836,"DmelCG11836, SP23"
CG11137,"BcDNA:LD31024, CT31141, DmelCG11137"
CG1371,DmelCG1371
eap,"BcDNA:GH12334, CG32099, DmelCG32099"
Osi14,"BEST:LD24139, CG1155, DmelCG1155, SP558"
mtg,"0849/10, CG7549, DmelCG7549, l(3)S084910, l(3)S084910b"
CG31199,"CG17837, DmelCG31199"
CG5177,DmelCG5177
bai,"150547_at, BcDNA:RE52411, CG11785, DmelCG11785, p23, p24"
CG14854,DmelCG14854
Rab10,"AAF50924, CG17060, DRAB10, DmRab10, DmelCG17060, O15971, Rab-r10"
CG10916,DmelCG10916
CG3795,"BcDNA:GH24985, DmelCG3795, EG:9D2.4, SP160"
RpL7-like,"CG5317, DmelCG5317"
CG12691,DmelCG12691
CG14763,DmelCG14763
CG1161,DmelCG1161
yip2,"CG4600, DmelCG4600"
Rrp40,"CG31938, DmelCG31938, dRrp40"
CG31855,"CG6537, DmelCG31855"
CG9672,"BcDNA:GH16384, DmelCG9672, SPH161"
CG43755,"BcDNA:GH10778, CG31920, CG33992, DmelCG43755, Dmel_CG31920, Dmel_CG33992, NEST:bs21f09, NEST:bs23f04, anon-WO0140519.62"
ksr,"CG2899, DmelCG2899, EK3-1, KSR-1, SR3-1, dKsr, l(3)j5E2"
CG1561,"DmelCG1561, e"
CG8300,DmelCG8300
CG3565,"DmelCG3565, anon-WO0140519.176"
hd,"CG2669, DmelCG2669, fs(3)272, fs(3)272-9, l(3)82Ff, l(3)82Fk"
atms,"CG2503, DmelCG2503, PAF, PAF1, anon-WO0172774.113, anon-WO0172774.114, anon-WO0172774.116, l(3)01456, l(3)02466, l(3)rK509"
Aats-his,"CG6335, DmelCG6335, HRS, Harsl, HisRS, l(1)G0165, l(1)G0358"
Acp65Aa,"ACP65A, BcDNA:RH61147, CG10297, DCP5, DMACP65A, DmelAcp65Aa, DmelCG10297"
CG9947,DmelCG9947
nxf2,"CG4118, DmelCG4118"
CG4091,DmelCG4091
CG30281,"AAM68209, CG6676, DmelCG30281, FBpp0071674"
Reph,"CG3920, DmelCG3920, l(2)k16918"
CG11752,"BcDNA:RH44935, DmelCG11752, anon-EST:Posey214"
CG6432,DmelCG6432
Irc,"CG8913, DmelCG8913"
CG10880,DmelCG10880
CG12702,"DmelCG12702, lincRNA.1023"
Cdc23,"38C.54, APC8, CG2508, CG2508-PA, DmelCG2508"
Scox,"CG8885, DmelCG8885, SCO, dSco1, l(2)SH1783, l(2)SH2 1783"
Ns2,"CG6501, DmelCG6501, Ngp, Ngp1, dmNS2"
AttD,"Att, Attacin D, CG7629, DmelCG7629, att D"
Pp1-Y1,"CG41534, DmPp1-Y1, DmelCG41534, Pp1Y1"
CG2118,"DmelCG2118, MCC, Q9V9T5_DROME"
CG3267,"DmelCG3267, FBgn0042083, MCCC2_DROME, l(2)4524"
nrv2,"42kDa, CG9261, DmelCG9261, K-ATPase, NEST:bs13c10, Na, NaK ATPase, Na[+]/K[+] ATPase, Na[+]/K[+]-ATPase, Na[+]/K[+]ATPase, Nrv, Nrv2.2, ecta, l(2)SH0329, l(2)SH2 0329, l(2)k04223, l(2)k13315"
ppan,"CG5786, DmelCG5786, l(3)02231, l(3)j6B6"
CG4806,DmelCG4806
Mapmodulin,"Anp32a, CG5784, CT18148, CT42180, DmelCG5784, anon-EST:fe3A2"
CG17027,"152392_at, DmelCG17027, IMP"
Iris,"CG4715, CG4715-env, Dm-cF, DmelCG4715"
Atg7,"CG5489, DmelCG5489, atg-7"
CG3709,"DmelCG3709, anon-WO0257455.7"
CG14057,DmelCG14057
CG11459,DmelCG11459
Syx17,"CG7452, Dm Syx17, DmSyx17, DmelCG7452, Syx"
CG8353,DmelCG8353
CG2150,"DmelCG2150, GCR 1, GCR-1, GCR1, Pen100DE, anon-Pen100DE"
Fie,"BEST:HL04053, CG1079, DmelCG1079, HL04053"
CG31249,"CG7477, DmelCG31249, Q9VEG8"
Tengl4,"CG4683, DmelCG4683"
AIF,"CG7263, DmAIF, DmelCG7263, SD03428p"
CG2943,"DmelCG2943, NEST:bs09f06"
CG1688,"BcDNA:GH04802, DmelCG1688, anon-WO0109301.12, anon-WO0109301.47, anon-WO0109301.48, anon-WO0109301.49, anon-WO0109301.50"
Cyp6d4,"6d4, CG12800, DmelCG12800"
CG11395,DmelCG11395
CG8891,DmelCG8891
CG5590,DmelCG5590
CG6282,DmelCG6282
CG14034,"DmelCG14034, anon-SAGE:Wang-122"
CG10802,"DmelCG10802, anon-EST:Posey113"
mRpL23,"BcDNA:RE49852, CG1320, DmelCG1320, L23"
mRpL1,"CG7494, DmelCG7494, L1"
CG9780,DmelCG9780
robl37BC,"CG15171, DmelCG15171"
CG33107,"CG5275, DmelCG33107"
CG8560,"CT14378, DmelCG8560"
CG16959,"CT21630, DmelCG16959"
CG32313,DmelCG32313
CG15343,DmelCG15343
Aats-trp,"85D-WRS, CG9735, DmelCG9735, TrpRS, WRS, WRS-85D, l(3)03559, l(3)03560, l(3)3559, wars"
CG8195,DmelCG8195
Cdk12,"AC017581, CG7597, DmelCG7597, anon-WO0140519.165, dCDK12, gi24668141"
Hs2st,"CG10234, DmHs2st, DmelCG10234, Hs2st-2, dHS2ST, dmHS-2OST"
dream,"CG7863, DmelCG7863, Dream/Strica, STRICA, STRICA/DREAM"
CG6870,DmelCG6870
Larp7,"CG12058, CG42569, DmelCG42569, Dmel_CG12058, dLARP7"
CG1889,"AAF46536, AAN09619, DmelCG1889, FBpp0071343, FBpp0071344"
Arfrp1,"Arp1, CG7039, DmelCG7039, Q9W389"
CG13484,DmelCG13484
CG7544,DmelCG7544
CG1239,DmelCG1239
CG9104,"DmelCG9104, NPR2"
CG8237,DmelCG8237
CG31200,"CG17837, DmelCG31200, SPH169"
CG9662,"BcDNA:AT03617, DmelCG9662"
CG32450,"BEST:GH25462, BcDNA:GH25462, DmelCG32450, anon-WO0140519.221"
CG5126,DmelCG5126
Hen1,"CG12367, DmHen1, DmelCG12367, FBgn 33686, PIMET, Pimet/DmHen1, hen-1"
Tdrd3,"CG13472, DmelCG13472, dTDRD3"
Atg14,"CG11877, DmelCG11877"
CG9667,"DmelCG9667, ISY1"
CG6388,DmelCG6388
Brms1,"BRMS1L, CG4400, DmelCG4400, dBrms1"
CG7133,DmelCG7133
viaf,"CG18593, DmelCG18593, anon-WO0134798.17, anon-WO0134798.18, viaf1"
CG15818,DmelCG15818
CG10184,DmelCG10184
Dak1,"CG6092, Dak1L, Dm.UMP-CMP kinase, DmelCG6092, anon-WO0118547.320"
CG9372,"DmelCG9372, SP34, c-SP34"
CG6750,DmelCG6750
Nmdmc,"151767_at, CG18466, DNMDMC, DmelCG18466, Mthfd2"
CG32221,"DmelCG32221, FBXL18, anon-WO0118547.270"
CG13807,DmelCG13807
Fmo-1,"CG3006, DmFMO-1, DmelCG3006"
btz,"CG12878, DmelCG12878, wkl"
CG13829,DmelCG13829
Fas2,"1D4, Ab 1D4, CG3665, CT12301, DmelCG3665, EG:EG0007.3, FAS 11, FAS II, FASII, Fas, Fas 2, Fas-II, FascII, MAB1D4, anon-EST:Liang-1.60, clone 1.60, l(1)G0032, l(1)G0048, l(1)G0081, l(1)G0293, l(1)G0336, mAb 1D4"
mdlc,"CG4973, DmelCG4973"
CG8839,DmelCG8839
CG1227,"DmelCG1227, MPSK/PSK, Psk"
CG6613,DmelCG6613
CG13126,"DmelCG13126, anon-WO0118547.208"
KFase,"CG9542, DmelCG9542"
CG31445,"CG11955, DmelCG31445"
CG8306,DmelCG8306
Oscillin,"CG6957, DmelCG6957"
GAA1,"CG3033, DmelCG3033"
CG1105,DmelCG1105
Slbp,"CG11886, DmelCG11886, dSLBP, dSLPB"
Spt-I,"CG4016, DmelCG4016, Spt1, l(2)SH1626, l(2)SH2 1626, lcb1"
CG6180,DmelCG6180
wls,"CG6210, DmelCG6210, Evi, Evi/Wls, Srt, Wls/Evi"
Tal,"154176_at, CG2827, CT9666, DmelCG2827"
CG32445,"CG12562, DmelCG32445, anon-WO0140519.131"
CG17343,DmelCG17343
CG3226,"DmelCG3226, Q9W3Y3"
Trxr-2,"CG11401, Dm-TrxR, DmTrx, DmTrxR-2, DmelCG11401, TRR, TrxR, Trxr2"
CG5432,DmelCG5432
MED25,"Arc92, CG12254, DmelCG12254, LD07688, dARC92, dDrip97"
CG3436,DmelCG3436
Hus1-like,"CG2525, DmHus1, DmelCG2525, Hus-1, Hus1"
Rad1,"CG3240, DmRad1, DmelCG3240, Dromel_CG3240_FBtr0077747_rad1_mORF, Rad1[Dm]"
CG7601,"BcDNA:GH06026, DmelCG7601"
CG12909,DmelCG12909
CG3045,DmelCG3045
Torsin,"CG3024, DmTorp4a, DmelCG3024, EG:84H4.1, TORP4A, dtor"
CG3887,DmelCG3887
Trs23,"CG9298, DmelCG9298, Trs23p"
vis,"CG8821, DmelCG8821, TGIFa, achi/vis, dTGIFa, zaa"
alpha-Est5,"CG1089, D, DmalphaE5, DmelCG1089, EST-C, EST9, ESTC, Est-9, aE5, alphaE5"
CG7288,"DmelCG7288, Q9VWP1"
Pdsw,"BcDNA:RE65754, CG8844, DmelCG8844, anon-EST:Posey91, l(2)k10101"
Sep5,"CG2916, DmelCG2916, Sep"
Dsor1,"CG15793, D-MEK, D-MEK/Dsor, D-SOR, D-sor-1, DMEK-1, DRODSOR1, DSORT, DSor, Dmek, DmelCG15793, EK1-1, MAPKK, MEK, MEK/Dsor1, MEK1/2, SOR, Su(Raf)34B, sor/MEK1"
Cyp4g15,"152658_at, 4g15, CG11715, DmelCG11715"
SrpRbeta,"BcDNA:GM04779, CG33162, CG5950, Dm SRbeta, DmelCG33162, Q9VSN9, SRbeta, l(3)rK561, l(3)rL537"
beta4GalNAcTB,"CG14517, DmelCG14517, beta4GalTB, dbeta4GalTB"
CG1942,DmelCG1942
CG32440,"CG5051, DmelCG32440, bs36c07.y1"
CG1885,DmelCG1885
CG6347,DmelCG6347
FKBP59,"CG4535, DmelCG4535, FKBP59-bp1, anon-WO0118547.161, dFKBP59, l(2)k00424, l(2)k09010"
CG30496,"BcDNA:RE73310, CG1952, DmelCG30496, anon-WO0118547.218"
Dip-C,"CG5663, DmelCG5663, dipC"
alpha4GT1,"CG17223, DmelCG17223, alpha-4GT1"
